uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"df894654-ddf7-4017-bddc-7187d9d06891","D13","WLOU","WLOU","2016-11-16T12:00Z",,30,3.10,"pump broke; injected gas only; vials not sent to lab"
"4d36e2ce-452b-495e-a9da-538e5a26e76d","D13","WLOU","WLOU","2016-11-16T12:00Z",,28,2.30,"pump broke; injected gas only; vials not sent to lab"
"b3035411-4b89-4fd8-ab67-f326d219a980","D13","WLOU","WLOU","2016-11-16T12:00Z",,29,0.50,"pump broke; injected gas only; vials not sent to lab"
"8a164da2-bd85-4020-8d57-86f45f9ba967","D13","WLOU","WLOU","2016-11-16T12:00Z",,12,1.90,"pump broke; injected gas only; vials not sent to lab"
"6c3b548f-4049-4c98-b8a7-ef6e8d229231","D13","WLOU","WLOU","2016-11-16T12:00Z",,13,1.70,"pump broke; injected gas only; vials not sent to lab"
"d91f8fa3-9da0-4277-b15f-e4494a9f66d4","D13","WLOU","WLOU","2016-11-16T12:00Z",,15,1.70,"pump broke; injected gas only; vials not sent to lab"
"3b86157c-8581-4c86-9ae9-a8ad181a624f","D13","WLOU","WLOU","2016-11-16T12:00Z",,10,1.80,"pump broke; injected gas only; vials not sent to lab"
"6733aa3b-0521-4acd-9356-b1c657653c15","D13","WLOU","WLOU","2016-11-16T12:00Z",,6,1.80,"pump broke; injected gas only; vials not sent to lab"
"cec1e861-a67e-41d9-a28a-258199c26787","D13","WLOU","WLOU","2016-11-16T12:00Z",,5,2.20,"pump broke; injected gas only; vials not sent to lab"
"3f362283-0527-4ec8-9aab-ed219ff1aec2","D13","WLOU","WLOU","2016-11-16T12:00Z",,19,2.00,"pump broke; injected gas only; vials not sent to lab"
"e9a147d2-f226-4c2a-92b9-77da510ad08f","D13","WLOU","WLOU","2016-11-16T12:00Z",,23,1.90,"pump broke; injected gas only; vials not sent to lab"
"ec54ea76-7ec9-4ef8-b01c-33b33113a726","D13","WLOU","WLOU","2016-11-16T12:00Z",,4,1.40,"pump broke; injected gas only; vials not sent to lab"
"ff1efc84-dd27-4c68-80aa-a438b7fdfea5","D13","WLOU","WLOU","2016-11-16T12:00Z",,26,2.20,"pump broke; injected gas only; vials not sent to lab"
"71fe10f8-8b24-47bd-a442-2e116d021f09","D13","WLOU","WLOU","2016-11-16T12:00Z",,21,1.30,"pump broke; injected gas only; vials not sent to lab"
"4653cb71-7f33-491f-845c-82ca6a25772f","D13","WLOU","WLOU","2016-11-16T12:00Z",,17,1.60,"pump broke; injected gas only; vials not sent to lab"
"d2e0b51b-9893-4dd1-975e-68c3a83db354","D13","WLOU","WLOU","2016-11-16T12:00Z",,27,2.10,"pump broke; injected gas only; vials not sent to lab"
"393ec6f5-7e22-41f1-8b57-6f5e63b35816","D13","WLOU","WLOU","2016-11-16T12:00Z",,20,1.50,"pump broke; injected gas only; vials not sent to lab"
"0998cb2f-7661-4ee7-a961-5ca017e705c3","D13","WLOU","WLOU","2016-11-16T12:00Z",,7,1.60,"pump broke; injected gas only; vials not sent to lab"
"59f3438f-449b-408d-b1d4-6ff4ab2db8d7","D13","WLOU","WLOU","2016-11-16T12:00Z",,1,1.50,"pump broke; injected gas only; vials not sent to lab"
"b073144c-67f1-4e4d-b76f-8c0d13c40c80","D13","WLOU","WLOU","2016-11-16T12:00Z",,25,1.30,"pump broke; injected gas only; vials not sent to lab"
"ffba9750-c248-4eb7-bb29-62f91c24d58e","D13","WLOU","WLOU","2016-11-16T12:00Z",,8,1.90,"pump broke; injected gas only; vials not sent to lab"
"1c73cc2a-10db-4ae4-8b43-dce484647db7","D13","WLOU","WLOU","2016-11-16T12:00Z",,11,1.70,"pump broke; injected gas only; vials not sent to lab"
"e227ebcf-70af-4eb2-b93a-1345dbbf4941","D13","WLOU","WLOU","2016-11-16T12:00Z",,9,0.10,"pump broke; injected gas only; vials not sent to lab"
"cb5552d6-020b-42d7-bdcc-7cfee75d309f","D13","WLOU","WLOU","2016-11-16T12:00Z",,14,4.00,"pump broke; injected gas only; vials not sent to lab"
"c8d39f9a-ac8f-44cf-b73a-8a0330849bc3","D13","WLOU","WLOU","2016-11-16T12:00Z",,22,2.50,"pump broke; injected gas only; vials not sent to lab"
"aa220ef5-23d9-4af4-9e43-078184cb3d20","D13","WLOU","WLOU","2016-11-16T12:00Z",,24,2.20,"pump broke; injected gas only; vials not sent to lab"
"ae8dc424-e101-4d8a-96cd-b545dd11aff7","D13","WLOU","WLOU","2016-11-16T12:00Z",,3,0.60,"pump broke; injected gas only; vials not sent to lab"
"f48dd03b-43e2-43f8-8c05-d1f2aa7b4b4b","D13","WLOU","WLOU","2016-11-16T12:00Z",,16,2.30,"pump broke; injected gas only; vials not sent to lab"
"08470f89-cc18-489f-8e51-20bff844d764","D13","WLOU","WLOU","2016-11-16T12:00Z",,2,1.00,"pump broke; injected gas only; vials not sent to lab"
"825ff9dc-7191-4ccb-8a8d-cbeb13a3b7aa","D13","WLOU","WLOU","2016-11-16T12:00Z",,18,2.10,"pump broke; injected gas only; vials not sent to lab"
