table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
rea_backgroundFieldCondData,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic,"asIs",N,
rea_backgroundFieldCondData,domainID,"Unique identifier of the NEON domain",string,NA,basic,"asIs",N,
rea_backgroundFieldCondData,siteID,"NEON site code",string,NA,basic,"asIs",N,
rea_backgroundFieldCondData,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic,"asIs",N,
rea_backgroundFieldCondData,startDate,"The start date-time or interval during which an event occurred",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm'Z'(floor)",N,
rea_backgroundFieldCondData,stationToInjectionDistance,"Stream distance between the station and the injection location",real,meter,basic,"*.##(round)",N,
rea_backgroundFieldCondData,hoboSampleID,"Unique identifier for the HOBO conductivity logger file",string,NA,basic,"asIs",Y,
rea_backgroundFieldSaltData,uid,"Unique ID within NEON database; an identifier for the record",string,NA,basic,"asIs",N,
rea_backgroundFieldSaltData,domainID,"Unique identifier of the NEON domain",string,NA,basic,"asIs",N,
rea_backgroundFieldSaltData,siteID,"NEON site code",string,NA,basic,"asIs",N,
rea_backgroundFieldSaltData,namedLocation,"Name of the measurement location in the NEON database",string,NA,basic,"asIs",Y,
rea_backgroundFieldSaltData,collectDate,"Date of the collection event",dateTime,NA,basic,"yyyy-MM-dd'T'HH:mm'Z'(floor)",Y,
rea_backgroundFieldSaltData,stationToInjectionDistance,"Stream distance between the station and the injection location",real,meter,basic,"*.##(round)",N,
rea_backgroundFieldSaltData,specificConductanceRep1,"Conductivity auto-corrected to 25 degrees C measurement replicate 1",real,microsiemensPerCentimeter,basic,"*.##(round)",N,
rea_backgroundFieldSaltData,specificConductanceRep2,"Conductivity auto-corrected to 25 degrees C measurement replicate 2",real,microsiemensPerCentimeter,basic,"*.##(round)",N,
rea_backgroundFieldSaltData,specificConductanceRep3,"Conductivity auto-corrected to 25 degrees C measurement replicate 3",real,microsiemensPerCentimeter,basic,"*.##(round)",N,
