uid,domainID,siteID,namedLocation,collectDate,waterTemp,specificConductanceRep1,specificConductanceRep2,specificConductanceRep3,specificConductanceRep4,specificConductanceRep5,remarks
"db5fe357-cf36-4bc8-a244-883f37e157b3","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-03T18:57Z",5.00,101.90,,,,,
"a7551425-abf0-4edf-85c3-259af870fbb7","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-03T18:57Z",5.10,100.80,,,,,
"c41475e3-1507-4100-b97f-fc900c2e9b6b","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-03T18:57Z",5.20,101.60,,,,,
"bb606d5d-26a2-4bee-870e-ea8ad384a0fd","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-03T18:57Z",5.20,102.00,,,,,
"da02305e-8bb9-4f1e-bc6d-535f6400a8b1","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-10T18:02Z",5.40,104.20,,,,,
"3a498733-63ee-40b3-b98c-ac1ac974674b","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-10T18:02Z",5.90,104.40,,,,,
"64276fd9-f5ef-4047-abe3-55f31b3bf54e","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-10T18:02Z",5.70,103.60,,,,,
"a4dea444-c82a-434d-9c60-fd95a04562a7","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-10T18:02Z",5.50,104.30,,,,,
"2d3562c6-f60b-4bf6-8c8b-8d1d354954df","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-18T17:49Z",3.30,81.80,,,,,
"da91da82-5e2f-4b96-826f-5df474bd1707","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-18T17:49Z",3.10,82.10,,,,,
"6ee5729f-693c-4d3c-a7f7-9409fcb15c3b","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-18T17:49Z",3.20,82.90,,,,,
"218f52b7-444b-454a-827f-7493bd16a56d","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-18T17:49Z",3.20,81.50,,,,,
"b7ded6a0-7c0e-44a0-a0d2-a6e5d0a3c64d","D19","CARI","CARI.AOS.reaeration.station.04","2017-08-25T16:42Z",3.00,89.60,,,,,
"c23855a9-faca-4365-aca9-a691c745213a","D19","CARI","CARI.AOS.reaeration.station.01","2017-08-25T16:42Z",3.20,90.50,,,,,
"795ddd02-e9e0-4ff4-9342-a009f351dacf","D19","CARI","CARI.AOS.reaeration.station.03","2017-08-25T16:42Z",2.90,90.50,,,,,
"a73ed394-dd23-4290-b3db-e5351f926969","D19","CARI","CARI.AOS.reaeration.station.02","2017-08-25T16:42Z",2.90,89.50,,,,,
